name,CIK,location_untrusted_source,name_worker_1,name_worker_2,worker_agreement_exact,worker agreement,domain_worker_1,domain_worker_2,website_domain,worker_agreement_exact,worker agreement,city_worker_1,city_worker_2,city,worker_agreement_exact,worker agreement,province_worker_1,province_worker_2,province,worker_agreement_exact,worker agreement,country_worker_1,country_worker_2,country,worker_agreement_exact,worker agreement,employees_worker_1,employees_worker_2,employees_worker_2_integer,employees,worker_agreement_exact,worker agreement,worker_agreement_approximate,serial_number_worker_1,serial_number_worker_2,serial_number,worker_agreement_exact,worker agreement,source_worker_1,matching_year,matching_cik,source_worker_2,matching_year,matching_cik,worker_agreement_exact,worker agreement,source,source_serial_number,confidence
ALLIANT ENERGY CORPORATION,352541,"Madison, Wisconsin",ALLIANT ENERGY CORPORATION,ALLIANT ENERGY CORPORATION,1,1,alliantenergy.com,alliantenergy.com,alliantenergy.com,1,1,Madison,Madison,Madison,1,1,Wisconsin,Wisconsin,Wisconsin,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,5210,3129,3129,1000,0,0,1,39-1380265,39-0714890,39-0714890,0,0,https://www.sec.gov/ix?doc=/Archives/edgar/data/352541/000035254123000017/lnt-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/352541/000035254123000017/lnt-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/352541/000035254123000017/lnt-20221231.htm,,0.9
THE ALLSTATE CORPORATION,899051,"Glenview, Illinois",THE ALLSTATE CORPORATION,THE ALLSTATE CORPORATION,0,1,allstate.com,allstate.com,allstate.com,1,1,Northbrook,Glenview,Glenview,0,0,Illinois,Illinois,Illinois,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,54500,54000,54000,10000,0,0,1,36-3871531,36-3871531,36-3871531,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/899051/000089905123000020/all-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/899051/000089905123000020/all-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/899051/000089905123000020/all-20221231.htm,,0.9
Alphabet Inc.,1652044,"Mountain View, California",Alphabet Inc.,Alphabet Inc.,1,1,abc.xyz,google.com,abc.xyz,0,0,Mountain View,Mountain View,Mountain View,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,190234,190234,190234,100000,0,1,0,61-1767919,61-1767919,61-1767919,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001652044/000165204423000016/goog-20221231.htm,83,52,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,80,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,,0.9
Alphabet Inc.,1652044,"Mountain View, California",Alphabet Inc.,Alphabet Inc.,1,1,abc.xyz,google.com,abc.xyz,0,0,Mountain View,Mountain View,Mountain View,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,190234,190234,190234,100000,0,1,0,61-1767919,61-1767919,61-1767919,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001652044/000165204423000016/goog-20221231.htmm,83,52,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,80,49,0,0,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,,0.9
"ALTRIA GROUP, INC.",764180,"Richmond, Virginia","ALTRIA GROUP, INC.","ALTRIA GROUP, INC.",1,1,altria.com,altria.com,altria.com,1,1,Richmond,Richmond,Richmond,1,1,Virginia,Virginia,Virginia,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,6300,6300,6300,1000,0,1,1,13-3260245,13-3260245,13-3260245,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/764180/000076418023000020/mo-20221231.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/764180/000076418023000020/mo-20221231.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/764180/000076418023000020/mo-20221231.htm,,0.9
"AMAZON.COM, INC.",1018724,"Seattle, Washington","AMAZON.COM, INC.","AMAZON.COM, INC.",1,1,amazon.com,Amazon.com,amazon.com,0,1,Seattle,Seattle,Seattle,1,1,Washington,Washington,Washington,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,1541000,1541000,1541000,100000,0,1,0,91-1646860,91-1646860,91-1646860,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001018724/000101872423000004/amzn-20221231.htm,83,52,https://www.sec.gov/ix?doc=/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm,80,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm,,0.9
AMCOR PLC,1748790,"Warmley, Bristol, United Kingdom",AMCOR PLC,AMCOR PLC,1,1,amcor.com,amcor.com,amcor.com,1,1,Warmley,,Warmley,0,0,Bristol,Bristol,,1,1,United Kingdom,United States of America (the),United Kingdom of Great Britain and Northern Ireland (the),0,0,44000,37000,37000,10000,0,0,1,98-1455367,98-1455367,98-1455367,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1748790/000174879022000024/amcr-20220630.htm,80,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1748790/000174879022000024/amcr-20220630.htm,80,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1748790/000174879022000024/amcr-20220630.htm,,0.9
"ADVANCED MICRO DEVICES, INC.",2488,"Santa Clara, California","ADVANCED MICRO DEVICES, INC.","ADVANCED MICRO DEVICES, INC.",1,1,amd.com,amd.com,amd.com,1,1,Santa Clara,Santa Clara,Santa Clara,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,25000,25000,25000,10000,0,1,1,94-1692300,94-1692300,94-1692300,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,76,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,76,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,,0.9
Ameren Corporation,1002910,"St. Louis, Missouri",Ameren Corporation,Ameren Corporation,1,1,ameren.com,amereninvestors.com,ameren.com,0,0,St. Louis,St. Louis,St. Louis,1,1,Missouri,Missouri,Missouri,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,9116,9244,9244,1000,0,0,1,43-1723446,43-1723446,43-1723446,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1002910/000100291023000053/aee-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1002910/000100291023000053/aee-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1002910/000100291023000053/aee-20221231.htm,,0.9
American Airlines Group Inc.,6201,"Fort Worth, Texas",American Airlines Group Inc.,American Airlines Group Inc.,1,1,aa.com,aa.com,aa.com,1,1,Fort Worth,Fort Worth,Fort Worth,1,1,Texas,Texas,Texas,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,129700,129700,129700,100000,0,1,0,75-1825172,75-1825172,75-1825172,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/6201/000000620123000018/aal-20221231.htm,76,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/6201/000000620123000018/aal-20221231.htm,76,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/6201/000000620123000018/aal-20221231.htm,,0.9
