name,CIK,location_untrusted_source,name_worker_1,name_worker_2,worker_agreement_exact,worker agreement,domain_worker_1,domain_worker_2,website_domain,worker_agreement_exact,worker agreement,city_worker_1,city_worker_2,city,worker_agreement_exact,worker agreement,province_worker_1,province_worker_2,province,worker_agreement_exact,worker agreement,country_worker_1,country_worker_2,country,worker_agreement_exact,worker agreement,employees_worker_1,employees_worker_2,employees_worker_2_integer,employees,worker_agreement_exact,worker agreement,worker_agreement_approximate,serial_number_worker_1,serial_number_worker_2,serial_number,worker_agreement_exact,worker agreement,source_worker_1,matching_year,matching_cik,source_worker_2,matching_year,matching_cik,worker_agreement_exact,worker agreement,source,source_serial_number,confidence
THE KROGER CO.,56873,"Cincinnati, Ohio",,THE KROGER CO.,0,0,,thekrogerco.com,thekrogerco.com,0,0,,Cincinnati,Cincinnati,0,0,,Ohio,Ohio,0,0,,United States of America (the),United States of America (the),0,0,,420000,420000,100000,0,0,0,,31-0345740,31-0345740,0,0,,#VALUE!,#VALUE!,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000056873/000155837022004595/kr-20220129x10k.htm,81,54,0,0,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000056873/000155837022004595/kr-20220129x10k.htm,,0.9
"L3HARRIS TECHNOLOGIES, INC.",202058,"Melbourne, Florida","L3HARRIS TECHNOLOGIES, INC.","L3HARRIS TECHNOLOGIES, INC.",1,1,l3harris.com,l3harris.com,l3harris.com,1,1,Melbourne,Melbourne,Melbourne,1,1,Florida,Florida,Florida,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,46000,46000,46000,10000,0,1,1,34-0276860,34-0276860,34-0276860,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/202058/000020205823000014/hrs-20221230.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/202058/000020205823000014/hrs-20221230.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/202058/000020205823000014/hrs-20221230.htm,,0.9
LABORATORY CORPORATION OF AMERICA HOLDINGS,920148,"Burlington, North Carolina",LABORATORY CORPORATION OF AMERICA HOLDINGS,LABORATORY CORPORATION OF AMERICA HOLDINGS,1,1,labcorp.com,labcorp.com,labcorp.com,1,1,Burlington,Burlington,Burlington,1,1,North Carolina,North Carolina,North Carolina,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,80000,80000,80000,10000,0,1,1,13-3757370,13-3757370,13-3757370,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/920148/000092014823000017/lh-20221231.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/920148/000092014823000017/lh-20221231.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/920148/000092014823000017/lh-20221231.htm,,0.9
LAM RESEARCH CORPORATION,707549,"Fremont, California",LAM RESEARCH CORPORATION,LAM RESEARCH CORPORATION,1,1,,lamresearch.com,lamresearch.com,0,0,Fremont,Fremont,Fremont,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,17700,17700,10000,0,0,0,94-2634797,94-2634797,94-2634797,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/707549/000070754922000107/lrcx-20220626.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/707549/000070754922000107/lrcx-20220626.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/707549/000070754922000107/lrcx-20220626.htm,,0.9
"LAMB WESTON HOLDINGS, INC.",1679273,"Eagle, Idaho","LAMB WESTON HOLDINGS, INC.","LAMB WESTON HOLDINGS, INC.",1,1,,lambweston.com,lambweston.com,0,0,Eagle,Eagle,Eagle,1,1,Idaho,Idaho,Idaho,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,8000,8000,1000,0,0,0,61-1797411,61-1797411,61-1797411,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1679273/000155837022011121/lw-20220529x10k.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1679273/000155837022011121/lw-20220529x10k.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1679273/000155837022011121/lw-20220529x10k.htm,,0.9
LAS VEGAS SANDS CORP.,1300514,"Las Vegas, Nevada",LAS VEGAS SANDS CORP.,LAS VEGAS SANDS CORP.,1,1,,sands.com,sands.com,0,0,Las Vegas,Las Vegas,Las Vegas,1,1,Nevada,Nevada,Nevada,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,35700,35700,10000,0,0,0,27-0099920,27-0099920,27-0099920,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1300514/000130051423000021/lvs-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1300514/000130051423000021/lvs-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1300514/000130051423000021/lvs-20221231.htm,,0.9
"Leidos Holdings, Inc.",1336920,"Reston, Virginia","Leidos Holdings, Inc.","Leidos Holdings, Inc.",1,1,,leidos.com,leidos.com,0,0,Reston,Reston,Reston,1,1,Virginia,Virginia,Virginia,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,45000,45000,10000,0,0,0,20-3562868,20-3562868,20-3562868,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1336920/000133692023000015/ldos-20221230.htm,80,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1336920/000133692023000015/ldos-20221230.htm,80,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1336920/000133692023000015/ldos-20221230.htm,,0.9
Lennar Corporation,920760,"Miami, Florida",Lennar Corporation,Lennar Corporation,1,1,lennar.com,lennar.com,lennar.com,1,1,Miami,Miami,Miami,1,1,Florida,Florida,Florida,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,12012,12012,10000,0,0,0,95-4337490,95-4337490,95-4337490,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/920760/000162828023001606/len-20221130.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/920760/000162828023001606/len-20221130.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/920760/000162828023001606/len-20221130.htm,,0.9
LINCOLN NATIONAL CORPORATION,59558,"Radnor, Pennsylvania",LINCOLN NATIONAL CORPORATION,LINCOLN NATIONAL CORPORATION,0,1,,lfg.com,lfg.com,0,0,Radnor,,,0,0,Pennsylvania,Pennsylvania,Pennsylvania,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,11316,11316,10000,0,0,0,35-1140070,35-1140070,35-1140070,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/59558/000005955823000009/lnc-20221231x10k.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/59558/000005955823000009/lnc-20221231x10k.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/59558/000005955823000009/lnc-20221231x10k.htm,,0.9
LINDE PLC,1707925,"Guildford, United Kingdom",LINDE PLC,LINDE PLC,1,1,,linde.com,linde.com,0,0,Danbury,,Dublin,0,0,Connecticut,,,0,0,United States of America (the),United States of America (the),Ireland,1,1,,65010,65010,10000,0,0,0,98-1448883,98-1448883,606357,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1707925/000162828023005434/lin-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1707925/000162828023005434/lin-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1707925/000162828023005434/lin-20221231.htm,https://core.cro.ie/e-commerce/company/search/638966,0.9
"LIVE NATION ENTERTAINMENT, INC.",1335258,"Beverly Hills, California","LIVE NATION ENTERTAINMENT, INC.","LIVE NATION ENTERTAINMENT, INC.",1,1,,livenation.com,livenation.com,0,0,Beverly Hills,Beverly Hills,Beverly Hills,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,15500,15500,10000,0,0,0,20-3247759,20-3247759,20-3247759,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1335258/000133525823000014/lyv-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1335258/000133525823000014/lyv-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1335258/000133525823000014/lyv-20221231.htm,,0.9
LKQ CORPORATION,1065696,"Chicago, Illinois",LKQ CORPORATION,LKQ CORPORATION,1,1,lkqcorp.com,lkqcorp.com,lkqcorp.com,1,1,Chicago,Chicago,Chicago,1,1,Illinois,Illinois,Illinois,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,45000,45000,45000,10000,0,1,1,36-4215970,36-4215970,36-4215970,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065696/000106569623000008/lkq-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065696/000106569623000008/lkq-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065696/000106569623000008/lkq-20221231.htm,,0.9
LOCKHEED MARTIN CORPORATION,936468,"Bethesda, Maryland",LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,1,1,lockheedmartin.com,lockheedmartin.com,lockheedmartin.com,1,1,Bethesda,,,0,0,Maryland,Maryland,Maryland,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,116000,116000,100000,0,0,0,52-1893632,52-1893632,52-1893632,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/936468/000093646823000009/lmt-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/936468/000093646823000009/lmt-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/936468/000093646823000009/lmt-20221231.htm,,0.9
LOEWS CORPORATION,60086,"New York City, New York",LOEWS CORPORATION,LOEWS CORPORATION,1,1,loews.com,loews.com,loews.com,1,1,New York,New York City,New York City,0,0,New York,New York,New York,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,12050,12050,10000,0,0,0,13-2646102,13-2646102,13-2646102,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/60086/000006008623000025/l-20221231.htm,75,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/60086/000006008623000025/l-20221231.htm,75,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/60086/000006008623000025/l-20221231.htm,,0.9
"LOWE’S COMPANIES, INC.",60667,"Mooresville, North Carolina","LOWE’S COMPANIES, INC.","LOWE’S COMPANIES, INC.",1,1,lowes.com,lowes.com,lowes.com,1,1,Mooresville,,,0,0,North Carolina,North Carolina,North Carolina,0,1,United States of America (the),United States of America (the),United States of America (the),1,1,,200000,200000,100000,0,0,0,56-0578072,56-0578072,56-0578072,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/60667/000006066723000034/low-20230203.htm,#VALUE!,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000060667/000006066722000038/low-20220128.htm,82,54,0,0,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000060667/000006066722000038/low-20220128.htm,,0.9
LyondellBasell Industries N.V.,1489393,"Rotterdam, Netherlands",LyondellBasell Industries N.V.,LyondellBasell Industries N.V.,1,1,lyondellbasell.com,lyondellbasell.com,lyondellbasell.com,1,1,Rotterdam,Rotterdam,Rotterdam,1,1,,,,1,1,Netherlands,United States of America (the),Netherlands (the),0,0,,19300,19300,10000,0,0,0,98-0646235,98-0646235,24473890,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1489393/000148939323000006/lyb-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1489393/000148939323000006/lyb-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1489393/000148939323000006/lyb-20221231.htm,https://www.kvk.nl/bestellen/#/24473890000003914607,0.9
M&T BANK CORPORATION,36270,"Buffalo, New York",M&T BANK CORPORATION,M&T BANK CORPORATION,1,1,mtb.com,mtb.com,mtb.com,1,1,Buffalo,Buffalo,Buffalo,1,1,New York,New York,New York,0,1,United States of America (the),United States of America (the),United States of America (the),1,1,,22808,22808,10000,0,0,0,16-0968385,16-0968385,16-0968385,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/36270/000095017023003804/mtb-20221231.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/36270/000095017023003804/mtb-20221231.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/36270/000095017023003804/mtb-20221231.htm,,0.9
Marathon Oil Corporation,101778,"Houston, Texas",Marathon Oil Corporation,Marathon Oil Corporation,1,1,marathonoil.com,marathonoil.com,marathonoil.com,1,1,Houston,Houston,Houston,1,1,Texas,Texas,Texas,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,1570,1570,1570,1000,0,1,1,25-0996816,25-0996816,25-0996816,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/101778/000010177823000030/mro-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/101778/000010177823000030/mro-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/101778/000010177823000030/mro-20221231.htm,,0.9
Marathon Petroleum Corporation,1510295,"Findlay, Ohio",Marathon Petroleum Corporation,Marathon Petroleum Corporation,1,1,,marathonpetroleum.com,marathonpetroleum.com,0,0,Findlay,Findlay,Findlay,1,1,Ohio,Ohio,Ohio,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,17800,17800,10000,0,0,0,27-1284632,27-1284632,27-1284632,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1510295/000151029523000012/mpc-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1510295/000151029523000012/mpc-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1510295/000151029523000012/mpc-20221231.htm,,0.9
MARKETAXESS HOLDINGS INC.,1278021,"New York City, New York",MARKETAXESS HOLDINGS INC.,MARKETAXESS HOLDINGS INC.,1,1,marketaxess.com,marketaxess.com,marketaxess.com,1,1,New York,New York City,New York City,0,0,New York,New York,New York,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,744,744,100,0,0,0,52-2230784,52-2230784,52-2230784,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1278021/000095017023003824/mktx-20221231.htm,80,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1278021/000095017023003824/mktx-20221231.htm,80,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1278021/000095017023003824/mktx-20221231.htm,,0.9
"MARRIOTT INTERNATIONAL, INC.",1048286,"Bethesda, Maryland","MARRIOTT INTERNATIONAL, INC.","MARRIOTT INTERNATIONAL, INC.",1,1,,marriott.com,marriott.com,0,0,Bethesda,Bethesd,Bethesd,0,0,Maryland,Maryland,Maryland,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,377000,377000,100000,0,0,0,52-2055918,52-2055918,52-2055918,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001048286/000162828023003485/mar-20221231.htm,82,52,https://www.sec.gov/ix?doc=/Archives/edgar/data/1048286/000162828023003485/mar-20221231.htm,79,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1048286/000162828023003485/mar-20221231.htm,,0.9
"Marsh & McLennan Companies, Inc.",62709,"New York City, New York","Marsh & McLennan Companies, Inc.","Marsh & McLennan Companies, Inc.",1,1,marshmclennan.com,marshmclennan.com,marshmclennan.com,1,1,New York,New York City,New York City,0,0,New York,New York,New York,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,85000,85000,85000,10000,0,1,1,36-2668272,36-2668272,36-2668272,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/62709/000006270923000014/mmc-20221231.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/62709/000006270923000014/mmc-20221231.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/62709/000006270923000014/mmc-20221231.htm,,0.9
"MARTIN MARIETTA MATERIALS, INC.",916076,"Raleigh, North Carolina","MARTIN MARIETTA MATERIALS, INC.","MARTIN MARIETTA MATERIALS, INC.",1,1,,martinmarietta.com,martinmarietta.com,0,0,Raleigh,Raleigh,Raleigh,1,1,North Carolina,North Carolina,North Carolina,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,9400,9400,1000,0,0,0,56-1848578,56-1848578,56-1848578,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/916076/000095017023004361/mlm-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/916076/000095017023004361/mlm-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/916076/000095017023004361/mlm-20221231.htm,,0.9
MASCO CORPORATION,62996,"Livonia, Michigan",MASCO CORPORATION,MASCO CORPORATION,1,1,masco.com,masco.com,masco.com,1,1,Livonia,Livonia,Livonia,1,1,Michigan,Michigan,Michigan,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,92000,92000,10000,0,0,0,38-1794485,38-1794485,38-1794485,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000062996/000006299623000008/mas-20221231.htm,82,54,https://www.sec.gov/ix?doc=/Archives/edgar/data/62996/000006299623000008/mas-20221231.htm,77,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/62996/000006299623000008/mas-20221231.htm,,0.9
Mastercard Incorporated,1141391,"Harrison, New York",Mastercard Incorporated,Mastercard Incorporated,1,1,,mastercard.com,mastercard.com,0,0,Purchase,Harrison,Harrison,0,0,New York,New York,New York,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,29900,29900,10000,0,0,0,13-4172551,13-4172551,13-4172551,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1141391/000114139123000020/ma-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1141391/000114139123000020/ma-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1141391/000114139123000020/ma-20221231.htm,,0.9
"Match Group, Inc.",891103,"Dallas, Texas","Match Group, Inc.","Match Group, Inc.",1,1,,mtch.com,mtch.com,0,0,Dallas,Dallas,Dallas,1,1,Texas,Texas,Texas,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,2700,2700,1000,0,0,0,59-2712887,59-2712887,59-2712887,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000891103/000089110323000013/mtch-20221231.htm,83,53,https://www.sec.gov/ix?doc=/Archives/edgar/data/891103/000089110323000013/mtch-20221231.htm,79,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/891103/000089110323000013/mtch-20221231.htm,,0.9
"McCORMICK & COMPANY, INCORPORATED",63754,"Hunt Valley, Maryland","McCORMICK & COMPANY, INCORPORATED","McCORMICK & COMPANY, INCORPORATED",1,1,mccormickcorporation.com,mccormickcorporation.com,mccormickcorporation.com,1,1,Hunt Valley,,,0,0,Maryland,Maryland,Maryland,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,14200,14200,10000,0,0,0,52-0408290,52-0408290,52-0408290,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/63754/000006375423000005/mkc-20221130.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/63754/000006375423000005/mkc-20221130.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/63754/000006375423000005/mkc-20221130.htm,,0.9
McDONALD’S CORPORATION,63908,"Chicago, Illinois",McDONALD’S CORPORATION,McDONALD’S CORPORATION,1,1,mcdonalds.com,mcdonalds.com,mcdonalds.com,1,1,Chicago,Chicago,Chicago,1,1,Illinois,Illinois,Illinois,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,150000,150000,150000,100000,0,1,0,36-2361282,36-2361282,36-2361282,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000063908/000006390823000012/mcd-20221231.htm,82,54,https://www.sec.gov/ix?doc=/Archives/edgar/data/63908/000006390823000012/mcd-20221231.htm,77,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/63908/000006390823000012/mcd-20221231.htm,,0.9
McKESSON CORPORATION,927653,"Irving, Texas",,McKESSON CORPORATION,0,0,,mckesson.com,mckesson.com,0,0,,Irving,Irving,0,0,,Texas,Texas,0,0,,United States of America (the),United States of America (the),0,0,,75000,75000,10000,0,0,0,,94-3207296,94-3207296,0,0,,#VALUE!,#VALUE!,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000927653/000092765322000051/mck-20220331.htm,82,53,0,0,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000927653/000092765322000051/mck-20220331.htm,,0.9
Medtronic plc,1613103,"Dublin, Ireland",,Medtronic plc,0,0,,medtronic.com,medtronic.com,0,0,,Dublin,Dublin,0,0,,Ireland,,0,0,,Ireland,Ireland,0,0,,95000,95000,10000,0,0,0,,98-1183488,545333,0,0,,#VALUE!,#VALUE!,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001613103/000161310322000023/mdt-20220429.htm,82,52,0,0,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001613103/000161310322000023/mdt-20220429.htm,https://core.cro.ie/e-commerce/company/search/578150,0.9
"Merck & Co., Inc.",310158,"Kenilworth, New Jersey","Merck & Co., Inc.","Merck & Co., Inc.",1,1,merck.com,merck.com,merck.com,1,1,Rahway,,,0,0,New Jersey,New Jersey,New Jersey,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,69000,69000,69000,10000,0,1,1,22-1918501,22-1918501,22-1918501,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/310158/000162828023005061/mrk-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/310158/000162828023005061/mrk-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/310158/000162828023005061/mrk-20221231.htm,,0.9
"Meta Platforms, Inc.",1326801,"Menlo Park, California","Meta Platforms, Inc.","Meta Platforms, Inc.",1,1,,facebook.com,facebook.com,0,0,Menlo Park,Menlo Park,Menlo Park,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,11000,11000,10000,0,0,0,20-1665019,20-1665019,20-1665019,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326801/000132680123000013/meta-20221231.htm,80,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326801/000132680123000013/meta-20221231.htm,80,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326801/000132680123000013/meta-20221231.htm,,0.9
"MetLife, Inc.",1099219,"New York City, New York","MetLife, Inc.","MetLife, Inc.",1,1,metlife.com,metlife.com,metlife.com,1,1,New York,New York,New York,0,1,New York,New York,New York,0,1,United States of America (the),United States of America (the),United States of America (the),1,1,,45000,45000,10000,0,0,0,13-4075851,13-4075851,13-4075851,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001099219/000109921923000045/met-20221231.htm,82,52,https://www.sec.gov/ix?doc=/Archives/edgar/data/1099219/000109921923000045/met-20221231.htm,79,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1099219/000109921923000045/met-20221231.htm,,0.9
Mettler-Toledo International Inc.,1037646,"Columbus, Ohio",Mettler-Toledo International Inc.,Mettler-Toledo International Inc.,1,1,,mt.com,mt.com,0,0,Columbus,Columbus,Columbus,1,1,Ohio,Ohio,Ohio,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,18000,9100,9100,1000,0,0,0,13-3668641,13-3668641,13-3668641,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1037646/000103764623000005/mtd-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1037646/000103764623000005/mtd-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1037646/000103764623000005/mtd-20221231.htm,,0.9
MGM Resorts International,789570,"Paradise, Nevada",MGM Resorts International,MGM Resorts International,1,1,mgmresorts.com,mgmresorts.com,mgmresorts.com,1,1,Las Vegas,Paradise,Paradise,0,0,Nevada,Nevada,Nevada,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,75000,46000,46000,10000,0,0,1,88-0215232,88-0215232,88-0215232,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/789570/000078957023000008/mgm-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/789570/000078957023000008/mgm-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/789570/000078957023000008/mgm-20221231.htm,,0.9
MICROCHIP TECHNOLOGY INCORPORATED,827054,"Chandler, Arizona",,MICROCHIP TECHNOLOGY INCORPORATED,0,0,,microchip.com,microchip.com,0,0,,Chandler,Chandler,0,0,,Arizona,Arizona,0,0,,United States of America (the),United States of America (the),0,0,,21000,21000,10000,0,0,0,,86-0629024,86-0629024,0,0,,#VALUE!,#VALUE!,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000827054/000082705422000094/mchp-20220331.htm,83,53,0,0,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000827054/000082705422000094/mchp-20220331.htm,,0.9
"Micron Technology, Inc.",723125,"Boise, Idaho","Micron Technology, Inc.","Micron Technology, Inc.",1,1,micron.com,micron.com,micron.com,1,1,Boise,Boise,Boise,1,1,Idaho,Idaho,Idaho,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,48000,48000,48000,10000,0,1,1,75-1618004,75-1618004,75-1618004,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/723125/000072312522000048/mu-20220901.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/723125/000072312522000048/mu-20220901.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/723125/000072312522000048/mu-20220901.htm,,0.9
MICROSOFT CORPORATION,789019,"Redmond, Washington",MICROSOFT CORPORATION,MICROSOFT CORPORATION,1,1,microsoft.com,microsoft.com,microsoft.com,1,1,Redmond,Redmond,Redmond,1,1,Washington,Washington,Washington,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,221000,221000,100000,0,0,0,91-1144442,91-1144442,91-1144442,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,#VALUE!,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,#VALUE!,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,,0.9
"MID-AMERICA APARTMENT COMMUNITIES, INC.",912595,"Memphis, Tennessee","MID-AMERICA APARTMENT COMMUNITIES, INC.","MID-AMERICA APARTMENT COMMUNITIES, INC.",1,1,,maac.com,maac.com,0,0,Germantown,Memphis,Memphis,0,0,Tennessee,Tennessee,Tennessee,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,2387,2387,1000,0,0,0,62-1543819,62-1543819,62-1543819,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/912595/000095017023002778/maa-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/912595/000095017023002778/maa-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/912595/000095017023002778/maa-20221231.htm,,0.9
